"","Geneid","E1_S1_L001.bam","E2_S2_L001.bam","E3_S3_L001.bam","E4_S4_L001.bam","E5_S5_L001.bam","E6_S6_L001.bam","L1_S1_L001.bam","L2_S2_L001.bam","L3_S3_L001.bam","L4_S4_L001.bam","L5_S5_L001.bam","L6_S6_L001.bam","enriched_mean","enriched_sd","unenriched_mean","unenriched_sd","enriched_m_mean","enriched_f_mean","unenriched_m_mean","unenriched_f_mean","enriched_m_sd","enriched_f_sd","unenriched_m_sd","unenriched_f_sd"
"1","txnl4b",595.771023853454,367.102489506537,236.858439764923,469.685234549143,279.861986390853,338.084242102579,509.280345273646,399.022430589797,169.302259547663,472.637078333166,255.707278720437,356.009230123414,381.227236027915,131.933274009596,360.326437098021,129.423622103729,399.910651041638,362.543821014192,359.201678470369,361.451195725673,181.691613322579,97.2466947291321,173.451848989839,108.567240603309
"2","abcb6a",192.70221795799,177.17793764378,225.344487831906,516.895863795062,491.81985130039,406.416957060751,500.469266635694,781.302661294707,620.118741366439,627.691930118355,650.103250984162,629.724869364029,335.059552598313,154.893334261786,634.901786627231,89.4804157161591,198.408214477892,471.710890718734,633.96355643228,635.840016822182,24.5850144695944,57.9195556790455,140.927669629075,12.3940750789948
"3","ugt5b5",21.6789995202739,29.317212703647,12.3363770710898,31.8772624822872,20.8562658835471,25.0553288179967,19.3843730034952,19.5325665323677,35.4353566495108,26.1538304215981,15.1690758562971,19.6789021676259,23.520241079807,6.94790514594694,22.5590174384825,7.22311379943989,21.1108630983369,25.929619061277,24.7840987284579,20.333936148507,8.50466218849582,5.56227283396649,9.22455753985493,5.52159491017379
"4","ugt5b6",11302.7880091443,4434.54708678209,3866.22057407953,3651.76234765442,2927.63769472303,4179.6843982749,6532.53370217788,2526.67699929413,2470.63181084089,2267.91072370144,1995.81698052138,2769.35823231681,5060.44001844305,3101.41127472358,3093.82140814209,1704.5690851379,6534.51855666864,3586.36148021745,3843.28083743764,2344.36197884654,4139.2081289565,628.580298820213,2329.12987909056,392.396626982517
"5","ugt5b4",1812.20377471327,964.281365665608,902.200376465697,290.123439553981,213.412953226994,356.306299424758,1649.43392102468,1784.43947106416,1352.44944545633,237.252604538783,175.527877765724,434.724838793918,756.421368175051,608.525718922769,938.971359773933,737.571314664183,1226.22850561486,286.614230735244,1595.44094584839,282.501773699475,508.417913041256,71.5112788782208,220.99836330266,135.39343275751
"6","ugt5b3",288.250401028827,309.105394810192,58.3921848031582,52.8597643693623,24.2514719576129,54.6661719665382,225.56361313158,399.022430589797,61.0275586741575,18.6813074439987,4.33402167322775,78.7156086705036,131.254231489282,130.421413330671,131.224090030544,153.01474295928,218.582660214059,43.9258027645045,228.537867465178,33.91031259591,139.120357966342,17.0623927579351,169.017064233018,39.4600693042478
"7","ugt5b2",6229.9021214002,1793.44862061006,1812.62500431212,1002.72148441119,513.646176062241,947.221586872576,3445.13174743937,834.319627596848,1133.93141278435,665.054545006352,327.218636328695,712.018460246828,2049.92749894473,2110.31006261137,1186.27907156707,1136.97969241368,3278.65858210746,821.196415782001,1804.46092927352,568.097213860625,2555.86986260761,267.788017133815,1428.73802904576,209.924436807708
"8","ugt5b1",313.141104181735,133.202118588309,106.092842811372,96.0352970985361,105.25138829604,133.736884989567,206.179240128085,69.7591661870274,76.7766060739401,54.1757915875961,69.344346771644,119.862404111903,147.909939327593,82.4353484165322,99.3495924766993,56.8497478591301,184.145355193805,111.674523461381,117.571670796351,81.1275141570478,112.532909191068,19.6543870774557,76.8165810408156,34.3920781787601
"9","cyp4v2a",40570.2402874223,21124.9637451105,21654.4538854529,11653.3587403602,16823.2460969961,15447.4237009968,33364.0303704704,14966.1315137649,19009.1002115376,9966.47752137329,14577.4818979015,12827.0662310798,21212.2810760565,10186.3038513548,17451.7146243546,8336.45880078562,27783.2193059952,14641.3428461177,22446.4206985909,12457.0085501182,11077.0492071116,2677.54711975867,9668.61156958068,2327.66994127597
"10","clockb",46.569702673181,67.557055360578,93.7564657402821,355.492003125253,643.634065755046,418.45653064862,98.6840807450664,274.851114776888,269.702436721277,506.263431732364,1209.19204683054,551.009260693525,270.910970550493,241.210151919592,484.950395249944,392.178287552797,69.2944079246804,472.527533176307,214.412544081077,755.48824641881,23.6413080779528,151.489989932998,100.25684585611,393.555461381737
