"","X.x","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E","CPM_sd_E","X.y","L1_CPM","L2_CPM","L3_CPM","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN","CPM_sd_UN"
"1",4,"txnl4b",3661,70.2843665687769,50.0863772618978,27.4550825792639,105.172328112365,46.7297288541903,70.9754284979256,61.7838853124032,26.7627563403981,35,4.3937826607045,4.97753227211765,1.59563132470686,4.60623894127145,2.26523385122466,3.12360404134088,3.49367051522767,1.37828986007587
"2",8,"abcb6a",7025,22.7334878389575,24.173633470152,26.1204605094386,115.743773463865,82.1212219378665,85.3207990316738,59.3688960419923,40.1387954823142,70,4.31776565965425,9.74621703631428,5.84446357305418,6.11737661765695,5.75906911328304,5.52516895754769,6.2183434929184,1.83845001211027
"3",10,"ugt5b6",2038,1333.41378462085,605.036480882438,448.147025017777,817.705815650257,488.83993650588,877.458497647598,761.766923387467,328.847942493139,109,56.359004578656,31.5185697370807,23.2850850291524,22.1026643268915,17.6803421777789,24.2981862110336,29.2073086767655,14.0362079092647
"4",11,"ugt5b4",2310,213.789508552196,131.563695828561,104.577172185599,64.964694083153,35.6344552787586,74.8008606402585,104.221731094754,63.029713957668,110,14.230382596607,22.2596635525821,12.746496745042,2.3122227096501,1.55494866058642,3.81425016103435,9.48632740425031,8.28057832949583
"5",12,"ugt5b3",2089,34.0055088924406,42.1734252986465,6.76844049697131,11.8364046243297,4.04936991804075,11.4762964269986,18.3849076095712,15.7541010989832,111,1.94603522688642,4.97753227211765,0.575169430998983,0.182064780287409,0.0383937940885536,0.690646119693462,1.40164027067875,1.87711169292476
"6",13,"ugt5b2",2019,734.954717260296,244.69282224823,210.107645849645,224.53027092717,85.7656548641031,198.854160113052,283.150878543749,228.229833070976,112,29.7226474106481,10.4075674780642,10.6870191050134,6.48150617823177,2.8987314536858,6.24720808268177,11.0741132847208,9.58738621532972
"7",14,"ugt5b1",2289,36.9419177383059,18.1737028606539,12.297589071962,21.5043076380952,17.5742654442969,28.0759394731929,22.4279537044178,8.80555784526717,113,1.77879782457587,0.870197949670918,0.723600251901946,0.527987862833487,0.614300705416858,1.0516656822605,0.927758379443263,0.456658971298343
"8",18,"cyp4v2a",2471,4786.15697302852,2882.22753597719,2510.04279275007,2609.43027137894,2809.04791214487,3242.94178737442,3139.97454544233,845.547873879399,185,287.84597617688,186.692268122399,179.156000829877,97.1315602833328,129.13752641685,112.543924504594,165.417876055655,69.8640321964164
"9",19,"clockb",5541,5.49392622774806,9.21728470444646,10.867636854292,79.6020799544615,107.470277624802,87.8483166971437,50.0832536771489,46.4476732517953,197,0.85139041176281,3.42857992170342,2.54187780796325,4.93395554578879,10.7118685507065,4.83452283785423,4.55036584596316,3.38132663183803
"10",23,"dnajb14",5422,24.6279451588706,26.9562099847019,14.2995221767,36.3224019769506,30.9371861738314,47.6129679143928,30.1260388975746,11.2747598055751,278,2.59978143591858,5.60407479588071,3.11704723896223,1.6021700665292,2.82194386550869,2.07193835908039,2.96949262697997,1.39974477803328
"11",27,"nr3c2",3540,4.92558903177412,11.4781281225182,2.85990443533999,19.1550975599839,13.119958534452,28.2808733379607,13.3032585036715,9.39347280007907,353,0.364881605041204,0.939813785644592,0.278307789193056,0.291303648459855,0.307150352708429,0.816218141455909,0.499612553750508,0.297179659107632
"12",29,"txna",656,2172.46893161037,1932.93416693529,1938.63388656914,2006.67717787586,1433.07201399462,1914.97034367887,1899.79275344403,247.565010901665,378,120.137268459816,128.35419757646,116.314102030085,81.728879871018,70.4910059465844,72.1254299998058,98.1918139806283,26.2206369857779
