"","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E","CPM_sd_E"
"1","rpl24",635,0.568337195973937,0.869555160796836,0.953301478446664,6.14408789659861,11.824160160679,9.15371262629647,4.91885908646525,4.86143812489949
"2","f7i",1785,0.568337195973937,0.521733096478102,0.953301478446664,1.08425080528211,0.64789918688652,0.273245153023775,0.674794486015184,0.297303477857848
"3","f10",2786,0.189445731991312,0,0.762641182757331,1.08425080528211,0.971848780329781,0.409867729535663,0.569675704982699,0.437815080192566
"4","txnl4b",3661,70.2843665687769,50.0863772618978,27.4550825792639,105.172328112365,46.7297288541903,70.9754284979256,61.7838853124032,26.7627563403981
"5","atp5pf",1242,1.32612012393919,0.869555160796836,1.52528236551466,0.361416935094036,0.809873983608151,1.63947091814265,1.08861991451592,0.490923641187631
"6","LOC100332351",1183,1.5155658559305,0.869555160796836,0.476650739223332,0.90354233773509,0.64789918688652,0.409867729535663,0.80384683501799,0.40184505264716
"7","fn1b",8613,0,0.695644128637469,2.85990443533999,2.71062701320527,11.6621853639574,2.45920637721398,3.39792788639235,4.21400647555264
"8","abcb6a",7025,22.7334878389575,24.173633470152,26.1204605094386,115.743773463865,82.1212219378665,85.3207990316738,59.3688960419923,40.1387954823142
"9","ugt5b5",1742,2.55751738188272,3.99995373966545,1.42995221767,7.13798446810721,3.48245812951505,5.25996919570767,3.97797252209135,2.0191735405552
"10","ugt5b6",2038,1333.41378462085,605.036480882438,448.147025017777,817.705815650257,488.83993650588,877.458497647598,761.766923387467,328.847942493139
"11","ugt5b4",2310,213.789508552196,131.563695828561,104.577172185599,64.964694083153,35.6344552787586,74.8008606402585,104.221731094754,63.029713957668
"12","ugt5b3",2089,34.0055088924406,42.1734252986465,6.76844049697131,11.8364046243297,4.04936991804075,11.4762964269986,18.3849076095712,15.7541010989832
"13","ugt5b2",2019,734.954717260296,244.69282224823,210.107645849645,224.53027092717,85.7656548641031,198.854160113052,283.150878543749,228.229833070976
"14","ugt5b1",2289,36.9419177383059,18.1737028606539,12.297589071962,21.5043076380952,17.5742654442969,28.0759394731929,22.4279537044178,8.80555784526717
"15","fgb",1819,2.84168597986969,2.78257651454988,8.38905301033064,5.60196249395756,17.0073536557712,8.8804674732727,7.58384985462527,5.30283348169044
"16","fga",2349,2.55751738188272,5.47819751302007,11.0582971499813,3.07204394829931,18.0601898344618,4.23529987186852,7.41025761658561,6.04833278225187
"17","eif3f",893,0.378891463982625,0.173911032159367,0,0.542125402641054,1.29579837377304,1.63947091814265,0.671699531783123,0.652315949781503
"18","cyp4v2a",2471,4786.15697302852,2882.22753597719,2510.04279275007,2609.43027137894,2809.04791214487,3242.94178737442,3139.97454544233,845.547873879399
"19","clockb",5541,5.49392622774806,9.21728470444646,10.867636854292,79.6020799544615,107.470277624802,87.8483166971437,50.0832536771489,46.4476732517953
"20","rpl9",781,0.75778292796525,1.21737722511557,0.190660295689333,7.9511725720688,11.3382357705141,8.06073201420137,4.91932680092574,4.76751660385187
"21","rps3a",1461,2.27334878389575,0.695644128637469,3.43188532240799,11.7460503905562,15.3876056885549,17.077822063986,8.43539272967303,7.16791300649331
"22","fgg",1578,6.062263423722,3.30430961102798,6.67311034912665,8.31258950716283,14.5777317049467,12.5692770390937,8.58321360584664,4.23713813784009
"23","dnajb14",5422,24.6279451588706,26.9562099847019,14.2995221767,36.3224019769506,30.9371861738314,47.6129679143928,30.1260388975746,11.2747598055751
"24","raph1b",6736,0,0.521733096478102,0.190660295689333,2.52991854565825,0.971848780329781,3.14231925977342,1.22607999632148,1.30445943270551
"25","cpb2",1712,0,0.0869555160796836,0.190660295689333,0.813188103961581,0.566911788525705,0.614801594303494,0.3787528830933,0.329798423335307
"26","tpt1",2733,4.35725183580019,2.08693238591241,1.71594266120399,22.7692669109243,26.4018918656257,30.0569668326153,14.5647087486803,13.209251370757
"27","nr3c2",3540,4.92558903177412,11.4781281225182,2.85990443533999,19.1550975599839,13.119958534452,28.2808733379607,13.3032585036715,9.39347280007907
"28","sod3b",5736,0.189445731991312,0.869555160796836,0.381320591378666,1.44566774037614,0.64789918688652,1.0929806120951,0.771144837254097,0.463415642086862
"29","txna",656,2172.46893161037,1932.93416693529,1938.63388656914,2006.67717787586,1433.07201399462,1914.97034367887,1899.79275344403,247.565010901665
"30","suclg1",3715,0.378891463982625,0.173911032159367,1.71594266120399,0.542125402641054,0.48592439016489,1.0929806120951,0.731629260374505,0.571174901561725
"31","dnaja1",2399,36.9419177383059,14.4346156692275,17.9220677947973,37.7680697173268,25.9159674754608,33.2675973806446,27.7083726292938,9.92509892145422
"32","rps6",818,0.378891463982625,1.21737722511557,1.90660295689333,7.22833870188072,15.7115552819981,8.74384489676081,5.86443508777186,5.90707678703781
"33","agpat3",8048,0,0,1.143961774136,0.722833870188072,0,1.0929806120951,0.493296042736528,0.559588786219687
"34","herc56.4",3165,2.08390305190444,4.34777580398418,5.91046916636932,12.2881757931972,4.21134471476238,31.4231925977342,10.0441435213253,11.0365054192125
"35","herc56.3",3180,0.75778292796525,5.73906406125912,0,18.2515552222488,3.88739512131912,31.1499474447104,9.96429079625045,12.2990965481207
"36","herc56.2",5478,1.13667439194787,4.34777580398418,3.05056473102932,3.16239818207282,1.6197479672163,6.55788367257061,3.31250745813685,1.96443774827271
