"","X","X.x","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E","CPM_sd_E","X.y","L1_CPM","L2_CPM","L3_CPM","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN","CPM_sd_UN","FC_E1","FC_E2","FC_E3","FC_E4","FC_E5","FC_E6","FC_UN1","FC_UN2","FC_UN3","FC_UN4","FC_UN5","FC_UN6","mean_FC_un","sd_FC_un","mean_FC_e","sd_FC_e"
"1",1,4,"txnl4b",3661,70.2843665687769,50.0863772618978,27.4550825792639,105.172328112365,46.7297288541903,70.9754284979256,61.7838853124032,26.7627563403981,35,4.3937826607045,4.97753227211765,1.59563132470686,4.60623894127145,2.26523385122466,3.12360404134088,3.49367051522767,1.37828986007587,0.318181818181819,0.204690831556503,0.0972644376899696,0.310814419225636,0.206145051804216,0.247912192794082,0.53125,0.48805460750853,0.131699846860643,0.494140624999999,0.300254452926208,0.379047619047619,0.387407858557167,0.151831755654342,0.230834791875371,0.0817948786428028
"2",2,8,"abcb6a",7025,22.7334878389575,24.173633470152,26.1204605094386,115.743773463865,82.1212219378665,85.3207990316738,59.3688960419923,40.1387954823142,70,4.31776565965425,9.74621703631428,5.84446357305418,6.11737661765695,5.75906911328304,5.52516895754769,6.2183434929184,1.83845001211027,0.102915951972556,0.0987917555081731,0.0925363053022628,0.342056074766355,0.362272240085746,0.298019565736101,0.522058823529411,0.955631399317402,0.482388973966309,0.656249999999999,0.763358778625954,0.67047619047619,0.675027360985878,0.171710972109495,0.216098648895199,0.13098237391547
"3",3,10,"ugt5b6",2038,1333.41378462085,605.036480882438,448.147025017777,817.705815650257,488.83993650588,877.458497647598,761.766923387467,328.847942493139,109,56.359004578656,31.5185697370807,23.2850850291524,22.1026643268915,17.6803421777789,24.2981862110336,29.2073086767655,14.0362079092647,6.03644939965694,2.47263681592039,1.58763931104357,2.41655540720962,2.15648445873527,3.0649009782868,6.81433823529411,3.09044368600682,1.9218989280245,2.37109375,2.34351145038168,2.94857142857143,3.24830957971309,1.79882503072001,2.95577772847543,1.58349639359933
"4",4,11,"ugt5b4",2310,213.789508552196,131.563695828561,104.577172185599,64.964694083153,35.6344552787586,74.8008606402585,104.221731094754,63.029713957668,110,14.230382596607,22.2596635525821,12.746496745042,2.3122227096501,1.55494866058642,3.81425016103435,9.48632740425031,8.28057832949583,0.967838765008577,0.537668798862827,0.37048294495103,0.191989319092123,0.15719899964273,0.261274158911954,1.72058823529412,2.18259385665528,1.052067381317,0.248046875,0.206106870229008,0.462857142857144,0.978710060225426,0.824862331580383,0.414408831078207,0.304133115401515
"5",5,12,"ugt5b3",2089,34.0055088924406,42.1734252986465,6.76844049697131,11.8364046243297,4.04936991804075,11.4762964269986,18.3849076095712,15.7541010989832,111,1.94603522688642,4.97753227211765,0.575169430998983,0.182064780287409,0.0383937940885536,0.690646119693462,1.40164027067875,1.87711169292476,0.153945111492282,0.172352523098791,0.0239783856805133,0.0349799732977304,0.0178635226866738,0.040085898353615,0.235294117647058,0.48805460750853,0.0474732006125574,0.01953125,0.00508905852417303,0.0838095238095239,0.146541959683641,0.186761053393306,0.0738675691016009,0.0698434380344478
"6",6,13,"ugt5b2",2019,734.954717260296,244.69282224823,210.107645849645,224.53027092717,85.7656548641031,198.854160113052,283.150878543749,228.229833070976,112,29.7226474106481,10.4075674780642,10.6870191050134,6.48150617823177,2.8987314536858,6.24720808268177,11.0741132847208,9.58738621532972,3.32718696397942,1,0.744343127321852,0.66355140186916,0.378349410503752,0.694583631591503,3.59375,1.02047781569966,0.882082695252682,0.6953125,0.384223918575064,0.758095238095239,1.22232369460377,1.18117132644207,1.13466908921095,1.09227023149283
"7",7,14,"ugt5b1",2289,36.9419177383059,18.1737028606539,12.297589071962,21.5043076380952,17.5742654442969,28.0759394731929,22.4279537044178,8.80555784526717,113,1.77879782457587,0.870197949670918,0.723600251901946,0.527987862833487,0.614300705416858,1.0516656822605,0.927758379443263,0.456658971298343,0.167238421955403,0.074271499644634,0.043566362715299,0.0635514018691591,0.0775276884601646,0.0980672870436648,0.215073529411765,0.0853242320819109,0.0597243491577334,0.056640625,0.0814249363867685,0.127619047619048,0.104301119942871,0.0599271320346063,0.0873704436147208,0.0430067967625002
"8",8,18,"cyp4v2a",2471,4786.15697302852,2882.22753597719,2510.04279275007,2609.43027137894,2809.04791214487,3242.94178737442,3139.97454544233,845.547873879399,185,287.84597617688,186.692268122399,179.156000829877,97.1315602833328,129.13752641685,112.543924504594,165.417876055655,69.8640321964164,21.6672384219554,11.7789623312011,8.8922661263087,7.71161548731643,12.3919256877456,11.3273681698878,34.8033088235294,18.3054607508532,14.7871362940276,10.419921875,17.117048346056,13.6571428571429,18.1816698244348,8.59844822627057,12.2948960374025,4.93227868642097
"9",9,19,"clockb",5541,5.49392622774806,9.21728470444646,10.867636854292,79.6020799544615,107.470277624802,87.8483166971437,50.0832536771489,46.4476732517953,197,0.85139041176281,3.42857992170342,2.54187780796325,4.93395554578879,10.7118685507065,4.83452283785423,4.55036584596316,3.38132663183803,0.0248713550600343,0.0376687988628287,0.0385005065856131,0.23524699599466,0.474097892104326,0.306848007635409,0.102941176470588,0.336177474402729,0.209800918836141,0.529296875,1.41984732824428,0.586666666666667,0.530788406603401,0.472759982513524,0.186205592707145,0.184255439755368
"10",10,23,"dnajb14",5422,24.6279451588706,26.9562099847019,14.2995221767,36.3224019769506,30.9371861738314,47.6129679143928,30.1260388975746,11.2747598055751,278,2.59978143591858,5.60407479588071,3.11704723896223,1.6021700665292,2.82194386550869,2.07193835908039,2.96949262697997,1.39974477803328,0.111492281303602,0.110163468372423,0.0506585612968593,0.107343124165554,0.136477313326188,0.166308756859938,0.314338235294117,0.549488054607506,0.257274119448698,0.171875,0.374045801526718,0.251428571428572,0.319741630384269,0.131297344567893,0.113740584220761,0.03825830984287
"11",11,27,"nr3c2",3540,4.92558903177412,11.4781281225182,2.85990443533999,19.1550975599839,13.119958534452,28.2808733379607,13.3032585036715,9.39347280007907,353,0.364881605041204,0.939813785644592,0.278307789193056,0.291303648459855,0.307150352708429,0.816218141455909,0.499612553750508,0.297179659107632,0.0222984562607204,0.0469083155650318,0.0101317122593718,0.0566088117489987,0.0578778135048231,0.0987831066571221,0.0441176470588235,0.0921501706484638,0.0229709035222052,0.03125,0.0407124681933843,0.099047619047619,0.055041468078416,0.0323505866939389,0.0487680359993446,0.031121811731425
"12",12,29,"txna",656,2172.46893161037,1932.93416693529,1938.63388656914,2006.67717787586,1433.07201399462,1914.97034367887,1899.79275344403,247.565010901665,378,120.137268459816,128.35419757646,116.314102030085,81.728879871018,70.4910059465844,72.1254299998058,98.1918139806283,26.2206369857779,9.83490566037735,7.89943141435679,6.86795001688621,5.93030707610147,6.32190067881386,6.68885707468382,14.5257352941176,12.5853242320818,9.60030627871364,8.76757812499999,9.34351145038168,8.75238095238095,10.5958060554459,2.3959307776207,7.25722532020325,1.42597240780428
"13",13,31,"dnaja1",2399,36.9419177383059,14.4346156692275,17.9220677947973,37.7680697173268,25.9159674754608,33.2675973806446,27.7083726292938,9.92509892145422,425,2.37173043276783,2.38434238209832,1.16889271461084,1.49293119835676,1.30538899901082,2.19751038084283,1.82013268461457,0.558774007470232,0.167238421955403,0.0589907604832978,0.0634920634920636,0.111615487316422,0.114326545194712,0.116201383917919,0.286764705882353,0.233788395904436,0.096477794793262,0.16015625,0.173027989821883,0.266666666666666,0.202813633844767,0.0722475962708698,0.10531077705997,0.0399224766432252
"14",14,37,"cyp2u1",2205,320.068564199322,302.25737389298,139.468006296747,1590.05380594621,1497.61897048819,1802.59827449785,942.01083255355,762.81616455671,478,14.4888404001778,15.767986848037,6.03000209918288,45.5890209839673,54.9415193407202,51.563011436205,31.396730184715,21.615098255898,1.44897084048027,1.23525230987917,0.494089834515367,4.69906542056075,6.60664523043944,6.29634931997137,1.75183823529411,1.54607508532422,0.497702909647778,4.890625,7.2824427480916,6.25714285714285,3.70430447258343,2.80997458384633,3.46339549264106,2.73026853207587
"15",15,40,"prdx2",1022,20332.6420774316,11196.3922504201,8344.81982173072,9116.10970811065,5576.87323852409,9667.75507042245,10705.7653611066,5067.57414863352,511,1355.97606133417,761.823497018902,684.117653541758,387.324613583435,262.959095712504,380.247778399412,638.741449931696,400.718220081647,92.0471698113209,45.7569296375268,29.5629854778791,26.9407209612817,24.602000714541,33.7687902648532,163.950367647059,74.6979522184297,56.4655436447166,41.55078125,34.8549618320611,46.1428571428572,69.6104106225207,48.2591093705974,42.1130994779005,25.5760097970866
"16",16,41,"abca1a",9626,300.176762340234,391.386777874656,1316.22335129131,7187.13717128,4792.10534840779,3573.02193222714,2926.67522390352,2755.6801893171,527,74.0405590229444,94.7993646371498,308.049614931487,328.299211814256,301.890402918297,166.649769381488,212.288153784271,114.591676172057,1.35891938250429,1.59950248756219,4.6629517055049,21.2400534045394,21.1400500178636,12.4803149606299,8.95220588235294,9.29522184300337,25.4257274119448,35.2187499999999,40.0152671755725,20.2228571428571,23.1883382426218,12.9411164950103,10.4136319931007,9.26591221498814
"17",17,44,"dnajb1b",2169,17.6184530751921,24.5214555344708,10.6769765586026,59.814502758063,34.0147073115423,39.2106794589117,30.9761291161304,17.5547058415877,588,1.82440802520602,2.90646115190087,1.85538526128704,2.91303648459855,2.07326488078189,2.00915234819916,2.26361802532892,0.509026155505237,0.079759862778731,0.100213219616205,0.0378250591016547,0.176769025367156,0.15005359056806,0.136960152708184,0.220588235294117,0.284982935153583,0.153139356814701,0.3125,0.274809160305343,0.243809523809524,0.248304868562878,0.0565926982221737,0.113596818356665,0.0508548702668658
"18",18,50,"cyp3a65",2012,1468.58331439665,10054.4924132617,1502.3077998841,1221.95065755294,2870.43636010237,3568.10351947271,3447.64567744507,3366.09120775372,655,75.6217126447896,673.098114070455,88.0194767954572,39.7629480147702,110.746899048433,124.316301544823,185.260908686455,240.789546149058,6.64837049742709,41.0902629708601,5.32218844984804,3.61121495327104,12.6627366916756,12.4631352899069,9.14338235294117,65.9982935153581,7.26493108728942,4.265625,14.6793893129771,15.0857142857143,19.40622259238,23.2112272937786,13.6329848088315,13.9606740353765
"19",19,53,"abcf3",2407,104.005706863231,141.824446725964,126.693766485562,336.117749637454,289.286986944831,220.372215913675,203.050145428453,94.6916235451877,694,4.89549486763616,8.02322509596586,6.75360235108483,10.960299773302,10.059174051201,6.46695912076605,7.859792543326,2.29903617605681,0.470840480274445,0.579601990049751,0.448834853090174,0.993324432576771,1.27617006073598,0.769744691004533,0.591911764705882,0.786689419795218,0.557427258805512,1.17578125,1.33333333333333,0.784761904761905,0.871650821900307,0.315405951165276,0.756419417955275,0.326762995618198
"20",20,54,"slc22a23",6948,89.6078312318908,98.0858221378831,158.72469616137,214.049179809443,265.962616216917,315.256595301181,190.281123476447,91.1508319964741,706,14.0935519947165,21.1632141359967,39.2970598340595,11.7795912845954,19.4272598088081,16.7167753971258,20.4129087425503,9.86179969573862,0.405660377358491,0.400852878464818,0.562310030395139,0.632576769025368,1.17327617006074,1.10116917203531,1.70404411764706,2.07508532423207,3.24349157733537,1.263671875,2.57506361323155,2.02857142857143,2.14832132266958,0.690101050285707,0.712640899556645,0.341642361914804
"21",21,56,"cyp8b1.2",2911,66.7796205269376,46.173379038312,54.9101651585278,30.359022547899,14.90168129839,30.7400797151747,40.6439913808735,18.8875807425992,726,4.241748658604,2.95867302888112,3.06138568112362,1.31086641806935,0.614300705416858,1.39698874210723,2.26399387236703,1.37197406730341,0.302315608919383,0.188699360341151,0.194528875379939,0.0897196261682243,0.0657377634869599,0.107372942018611,0.512867647058823,0.290102389078497,0.252679938744257,0.140625,0.0814249363867685,0.16952380952381,0.241203953465359,0.15304079251928,0.158062362719045,0.0881378577477862
"22",22,57,"cyp8b1.1",1975,3100.46884976982,1144.85632470511,1066.74435438182,1584.36148921848,1257.24837215329,1330.02078234323,1580.61669542863,765.673802905012,727,180.479563893506,76.3685720631198,69.5769472982641,55.165628427085,53.0602234303811,46.2732900194619,80.1540375219696,50.3940794747119,14.0360205831904,4.67874911158491,3.77912867274571,4.68224299065421,5.54626652375848,4.64566929133859,21.8216911764706,7.48805460750851,5.7427258805513,5.91796874999999,7.03307888040713,5.61523809523809,8.93645956502927,6.35754138533503,6.22801286221205,3.8657529733644
"23",23,58,"cyp8b1.3",1951,13.1664783733962,11.7389946707573,4.95716768792265,15.3602197414965,11.9051475590398,15.1651059928195,12.048852337572,3.8035229167365,728,0.790576810922609,0.348079179868367,0.204092378741575,0.364129560574819,0.115181382265661,0.282537048965507,0.35076606022309,0.234643476876473,0.0596054888507719,0.0479744136460554,0.0175616345829112,0.0453938584779706,0.052518756698821,0.0529706513958481,0.0955882352941176,0.0341296928327643,0.0168453292496172,0.0390625,0.0152671755725191,0.0342857142857143,0.0391964412057888,0.0293326491068607,0.046004133942063,0.0147594020102361
"24",24,61,"aldh9a1b",6226,308.985988877831,329.996183522399,543.381842714598,621.998545296836,472.561469435356,463.355468240067,456.713249681181,120.835853571908,764,16.966994634416,20.0145528424311,32.9887499456836,20.3366359581036,18.0834770157087,13.5303853449037,20.3201326235411,6.67733999445122,1.39879931389366,1.34861407249467,1.92502532928065,1.83818424566088,2.08467309753484,1.6184681460272,2.05147058823529,1.96245733788395,2.72281776416539,2.181640625,2.39694656488549,1.64190476190476,2.15953960701248,0.372182473381589,1.70229403414865,0.296146743203326
