"","Geneid","L1_CPM","L2_CPM","L3_CPM","L4_CPM","L5_CPM","L6_CPM","mean_CPM","std_CPM"
"1","LOC141383674",0,0,0,0,0,0,0,0
"2","rpl24",1221.28913887333,1602.67837182692,1305.22642361021,2573.01230093378,1901.22228947109,2711.35109389477,1885.79660310168,634.481114080722
"3","cep97",0.668949609242208,1.25308504752612,0.742154104514817,3.29537252320211,0.95984485221384,1.53825726658998,1.40961056721485,0.979133734367088
"4","nfkbiz",1.94603522688642,6.05657772970959,3.69221666996121,6.29944139794436,7.00686742116103,9.95158272467397,5.82545352838943,2.76764700348797
"5","eed",7.90576810922609,6.47427274555163,3.97052445915427,4.64265189732894,3.39785077683699,3.1549970467815,4.9243441724799,1.88366988582364
"6","hikeshi",6.94795389599293,10.6860308219589,8.10803359182437,4.46058711704153,7.16044259751525,5.46238294666647,7.1375718284999,2.16990046914316
"7","tmem39a",6.62868249158188,7.44889444918306,9.7222187691441,10.0681823498937,7.14124570047097,7.62850032206869,8.10628734705707,1.43075740187046
"8","ildr1a",0.243254403360803,2.00145528424311,0.482400167934631,0.855704467350824,0.652694499505411,1.30280972578539,0.923053091363362,0.63892053519659
"9","LOC100332762",0.425695205881405,0.330675220874949,0.222646231354445,0.4005425166323,0.307150352708429,0.690646119693462,0.396225941190832,0.161202720174796
"10","gpa33a",0.152034002100502,0.0348079179868367,0,0,0,0.282537048965507,0.0782298281754743,0.116132404512458
"11","crfa4",0.0304068004201004,0.0696158359736734,0,0.0364129560574819,0.115181382265661,0.361019562567037,0.102106089547326,0.132774090650088
"12","dusp27",0.0304068004201004,0,0,0,0,0,0.00506780007001673,0.0124135242899818
"13","pou2f1a",0.334474804621104,2.1754948741773,2.37489313444741,5.38911749650731,6.31577912756707,5.13275638954005,3.62041930447671,2.32881921303115
"14","wu:fj30f06",0.121627201680401,1.00942962161826,0.296861641805927,0.364129560574819,0.230362764531322,0.627860108812238,0.441711816503829,0.325907304285951
"15","cd247",0.167237402310552,0.243655425907857,0.129876968290093,0.710052643120896,0.0383937940885536,0.298233551685813,0.264574964233961,0.23613426806813
"16","creg1",12.0867031669899,21.754948741773,22.8397925664435,17.4053929954763,10.7694592418393,11.3956609749421,16.0419929479107,5.39887271533228
"17","h2af1al",0.273661203780903,0.243655425907857,0.259753936580186,52.3254178546014,30.1199314624703,25.2556728769723,18.0796821267188,21.5497607093007
"18","setdb2",7.95137830985624,7.79697362905143,4.04473986960575,7.77416611827238,5.75906911328304,8.89991704241347,7.03770734708039,1.78965060502688
"19","LOC101885776",2.29571343171758,2.9412690698877,2.65320092364047,5.98993127145576,3.80098561476681,4.42641376712628,3.68458567976577,1.37285952466204
"20","f7l",75.150407238278,51.5679304974986,107.668006712487,36.9409439203153,40.7166186309111,30.937806861723,57.1636189768688,29.2328003789934
"21","f7",301.042527559204,169.688600185829,232.238573155299,112.78913138805,113.952780854827,102.184232709192,171.9826409754,80.0445480347216
"22","f7i",590.8801491636,191.617588517536,374.082776380693,222.264683774869,185.058087506828,196.865537118077,293.461470410267,162.16096441958
"23","f10",397.416881490712,262.138430358867,459.745913894316,191.386497038125,256.873679349468,186.23900477643,292.300067817986,111.968662687476
"24","prozb",116.883740814866,57.3982567602938,150.41608313254,46.3354865831457,26.0693861861279,26.8881091598841,70.6651771061429,51.3215820206072
"25","pcid2",5.26037647267736,6.96158359736734,5.32495569989381,12.3804050595438,11.4029568443004,9.92018971923336,8.54174456550269,3.11236170733527
"26","cul4a",4.0289010556633,12.8267177781493,10.9282191889807,13.2907289609809,14.7240200329603,12.2589686245589,11.3429259402156,3.79297898731125
"27","lamp1a",9.60854893275171,24.087079246891,18.7764988442249,12.58067631786,10.3663244039095,7.15760524045951,13.7627888310161,6.41167342717215
"28","grtp1a",1.27708561764421,1.35750880148663,1.33587738812667,1.05597572566697,0.825466572903902,1.09875519042142,1.1584448827083,0.204998392205801
"29","adprhl1",0,0.139231671947347,0,0,0.0383937940885536,0.0313930054406119,0.0348364119127521,0.0539696379803173
"30","LOC141383747",0,0.139231671947347,0.0185538526128704,0.0182064780287409,0.0575906911328304,0,0.0389304489536314,0.0534497676945635
