"","Geneid","E4_cpm","E5_cpm","E6_cpm","CPM_mean_E46","L4_CPM","L5_CPM","L6_CPM","CPM_mean_UN46"
"1","txnl4b",105.172328112365,46.7297288541903,70.9754284979256,74.292495154827,4.60623894127145,2.26523385122466,3.12360404134088,3.33169227794566
"2","abcb6a",115.743773463865,82.1212219378665,85.3207990316738,94.3952648111351,6.11737661765695,5.75906911328304,5.52516895754769,5.80053822949589
"3","ugt5b6",817.705815650257,488.83993650588,877.458497647598,728.001416601245,22.1026643268915,17.6803421777789,24.2981862110336,21.3603975719013
"4","ugt5b4",64.964694083153,35.6344552787586,74.8008606402585,58.4666700007234,2.3122227096501,1.55494866058642,3.81425016103435,2.56047384375696
"5","ugt5b3",11.8364046243297,4.04936991804075,11.4762964269986,9.12069032312302,0.182064780287409,0.0383937940885536,0.690646119693462,0.303701564689808
"6","ugt5b2",224.53027092717,85.7656548641031,198.854160113052,169.716695301442,6.48150617823177,2.8987314536858,6.24720808268177,5.20914857153311
"7","ugt5b1",21.5043076380952,17.5742654442969,28.0759394731929,22.3848375185283,0.527987862833487,0.614300705416858,1.0516656822605,0.731318083503615
"8","cyp4v2a",2609.43027137894,2809.04791214487,3242.94178737442,2887.13999029941,97.1315602833328,129.13752641685,112.543924504594,112.937670401592
"9","clockb",79.6020799544615,107.470277624802,87.8483166971437,91.6402247588024,4.93395554578879,10.7118685507065,4.83452283785423,6.82678231144984
"10","dnajb14",36.3224019769506,30.9371861738314,47.6129679143928,38.2908520217249,1.6021700665292,2.82194386550869,2.07193835908039,2.16535076370609
"11","nr3c2",19.1550975599839,13.119958534452,28.2808733379607,20.1853098107989,0.291303648459855,0.307150352708429,0.816218141455909,0.471557380874731
"12","txna",2006.67717787586,1433.07201399462,1914.97034367887,1784.90651184978,81.728879871018,70.4910059465844,72.1254299998058,74.7817719391361
"13","dnaja1",37.7680697173268,25.9159674754608,33.2675973806446,32.3172115244774,1.49293119835676,1.30538899901082,2.19751038084283,1.66527685940347
"14","cyp2u1",1590.05380594621,1497.61897048819,1802.59827449785,1630.09035031075,45.5890209839673,54.9415193407202,51.563011436205,50.6978505869642
"15","prdx2",9116.10970811065,5576.87323852409,9667.75507042245,8120.24600568573,387.324613583435,262.959095712504,380.247778399412,343.51049589845
"16","abca1a",7187.13717128,4792.10534840779,3573.02193222714,5184.08815063831,328.299211814256,301.890402918297,166.649769381488,265.613128038014
"17","dnajb1b",59.814502758063,34.0147073115423,39.2106794589117,44.346629842839,2.91303648459855,2.07326488078189,2.00915234819916,2.33181790452653
"18","cyp3a65",1221.95065755294,2870.43636010237,3568.10351947271,2553.49684570934,39.7629480147702,110.746899048433,124.316301544823,91.6087162026754
"19","abcf3",336.117749637454,289.286986944831,220.372215913675,281.925650831987,10.960299773302,10.059174051201,6.46695912076605,9.16214431508968
"20","slc22a23",214.049179809443,265.962616216917,315.256595301181,265.089463775847,11.7795912845954,19.4272598088081,16.7167753971258,15.9745421635098
"21","cyp8b1.2",30.359022547899,14.90168129839,30.7400797151747,25.3335945204879,1.31086641806935,0.614300705416858,1.39698874210723,1.10738528853115
"22","cyp8b1.1",1584.36148921848,1257.24837215329,1330.02078234323,1390.543547905,55.165628427085,53.0602234303811,46.2732900194619,51.499713958976
"23","cyp8b1.3",15.3602197414965,11.9051475590398,15.1651059928195,14.1434910977853,0.364129560574819,0.115181382265661,0.282537048965507,0.253949330601996
"24","aldh9a1b",621.998545296836,472.561469435356,463.355468240067,519.305160990753,20.3366359581036,18.0834770157087,13.5303853449037,17.3168327729053
